,parameterName,value
0,r,0.5101360627744188
1,rmse,0.9898120399607
2,rf_lum_param1,22.39087578701762
3,rf_lum_param2,0.01946368628263049
4,rf_contrast_param1,5.163441738497552
5,rf_contrast_param2,1.239743386114056
6,amplitudeWeightContrast,1.9154987197135047
7,weight1,0.16415184125741483
8,weight2,0.019820920133172465
9,weight3,0.006213009720382181
10,weight4,0.12390307169421527
11,weight5,1.3335620468999245
12,weight6,0.41957558996323974
13,weight7,0.07144172711360948
14,weight8,0.020012671706655168
15,weight9,0.00395336845158732
16,weight10,0.18073757753933584
17,weight11,1.0045770989173592
18,weight12,1.8003000371567248
19,weight13,0.28428227085171753
20,weight14,0.210978474778116
21,weight15,0.09651877650593776
22,weight16,0.10920241526299218
23,weight17,0.1444606196963137
24,weight18,1.5848711948680156
25,weight19,0.022323146789192
26,weight20,0.5367619420115601
27,weight21,1.8633297308104986
28,weight22,1.684037898653544
29,weight23,0.4500826303266721
30,weight24,0.041509932772098315
31,weight25,0.1376045794890764
32,weight26,0.848401862735007
33,weight27,0.39329669857513394
34,weight28,0.2585418769521048
35,weight29,1.167128056350629
36,weight30,1.4325078190335394
37,weight31,1.812702320115986
38,weight32,0.2025205303782454
39,weight33,1.177054390011966
40,weight34,0.7530671431569085
41,weight35,1.4699137077063185
42,weight36,1.7248606637033665
43,weight37,1.9790064925427293
44,weight38,1.4761729245012187
45,weight39,0.03559652386892653
46,weight40,0.6469640246474125
47,weight41,1.0802189131352835
48,weight42,0.6855885698095359
49,weight43,1.4267826877545482
50,weight44,0.4777249472464371
